date,open,high,low,close,volume,ticker,ma200
2026-08-14,196.0,196.5,193.39999389648438,193.5,624989,AAK.ST,245.05699920654297
2026-08-17,193.10000610351562,193.39999389648438,191.1999969482422,191.3000030517578,629821,AAK.ST,244.6424991607666
2026-08-18,191.5,193.1999969482422,190.6999969482422,191.8000030517578,566447,AAK.ST,244.23949920654297
2026-08-19,191.5,192.6999969482422,190.60000610351562,191.8000030517578,616403,AAK.ST,243.8424991607666
2026-08-20,192.60000610351562,194.3000030517578,191.0,194.3000030517578,550447,AAK.ST,243.47699920654296
2026-08-21,194.3000030517578,196.5,193.39999389648438,196.3000030517578,463312,AAK.ST,243.12349922180175
2026-08-24,196.10000610351562,199.0,195.0,198.0,525855,AAK.ST,242.78649925231935
2026-08-14,981.5999755859375,981.5999755859375,968.7999877929688,971.5999755859375,266887,ABB.ST,834.5225000000002
2026-08-17,975.5999755859375,984.4000244140625,973.5999755859375,974.2000122070312,237546,ABB.ST,835.9075000000001
2026-08-18,969.0,970.0,939.4000244140625,946.7999877929688,403937,ABB.ST,837.1335000610353
2026-08-19,947.0,961.2000122070312,939.4000244140625,949.0,422287,ABB.ST,838.361499938965
2026-08-20,946.4000244140625,954.0,943.0,943.7999877929688,215505,ABB.ST,839.5794998168947
2026-08-21,942.7999877929688,957.2000122070312,940.2000122070312,946.2000122070312,303897,ABB.ST,840.7884997558596
2026-08-24,943.0,949.4000244140625,920.0,924.5999755859375,492198,ABB.ST,841.8844995117189
2026-08-17,344.0,344.0,337.20001220703125,338.0,261957,ADDT-B.ST,324.87899948120116
2026-08-18,337.0,338.79998779296875,334.79998779296875,336.20001220703125,245699,ADDT-B.ST,324.8969995117188
2026-08-19,337.0,337.20001220703125,333.0,335.3999938964844,246390,ADDT-B.ST,324.9309994506836
2026-08-20,335.0,337.20001220703125,333.6000061035156,335.0,230911,ADDT-B.ST,324.97799942016604
2026-08-21,335.0,339.79998779296875,334.6000061035156,337.79998779296875,350463,ADDT-B.ST,325.04399932861327
2026-08-24,337.79998779296875,341.79998779296875,336.0,338.6000061035156,293427,ADDT-B.ST,325.1269993591309
2026-08-17,128.0,129.1999969482422,125.19999694824219,125.19999694824219,29200,ALIG.ST,125.33700008392334
2026-08-18,125.0,125.19999694824219,122.4000015258789,122.5999984741211,56155,ALIG.ST,125.21200004577636
2026-08-19,122.5999984741211,123.0,121.19999694824219,121.4000015258789,26089,ALIG.ST,125.09600002288818
2026-08-20,121.80000305175781,123.4000015258789,120.80000305175781,122.80000305175781,36490,ALIG.ST,124.9970000076294
2026-08-21,122.80000305175781,126.80000305175781,122.80000305175781,125.19999694824219,39288,ALIG.ST,124.924999961853
2026-08-24,125.4000015258789,126.19999694824219,123.4000015258789,124.0,60597,ALIG.ST,124.84199993133544
2026-08-17,1160.0,1160.0,1147.0,1147.0,35808,ALIV-SDB.ST,1113.055
2026-08-18,1147.0,1155.0,1140.0,1152.0,26401,ALIV-SDB.ST,1113.325
2026-08-19,1147.0,1160.0,1140.0,1151.0,27663,ALIV-SDB.ST,1113.575
2026-08-20,1150.0,1156.0,1136.0,1148.0,68072,ALIV-SDB.ST,1113.79
2026-08-21,1150.0,1186.0,1150.0,1184.0,42924,ALIV-SDB.ST,1114.205
2026-08-24,1183.0,1195.0,1172.0,1175.0,44496,ALIV-SDB.ST,1114.58
2026-08-17,118.30000305175781,119.80000305175781,117.0999984741211,118.5999984741211,148856,ALLEI.ST,86.89474994659423
2026-08-18,118.5999984741211,118.80000305175781,115.5999984741211,115.69999694824219,146666,ALLEI.ST,87.05999992370606
2026-08-19,116.0,118.0999984741211,115.0,116.19999694824219,138860,ALLEI.ST,87.22224990844727
2026-08-20,116.5,116.5,112.0,113.0999984741211,212368,ALLEI.ST,87.37099990844726
2026-08-21,113.5999984741211,115.4000015258789,113.0,114.19999694824219,137649,ALLEI.ST,87.52249988555909
2026-08-24,114.80000305175781,116.69999694824219,114.19999694824219,115.19999694824219,189816,ALLEI.ST,87.6869998550415
2026-08-17,40.349998474121094,40.5,38.95000076293945,39.45000076293945,353040,ANOD-B.ST,68.60549995422365
2026-08-18,39.400001525878906,41.70000076293945,39.150001525878906,40.650001525878906,851671,ANOD-B.ST,68.24174995422364
2026-08-19,40.5,41.5,39.54999923706055,41.45000076293945,382507,ANOD-B.ST,67.88799997329713
2026-08-20,41.400001525878906,42.0,40.45000076293945,41.95000076293945,320567,ANOD-B.ST,67.54874996185303
2026-08-21,41.900001525878906,42.20000076293945,41.54999923706055,41.70000076293945,213052,ANOD-B.ST,67.21024995803833
2026-08-24,41.5,42.79999923706055,41.0,42.650001525878906,385047,ANOD-B.ST,66.86849996566774
2026-08-17,27.600000381469727,27.920000076293945,27.239999771118164,27.65999984741211,141227,ARJO-B.ST,27.522499961853033
2026-08-18,27.579999923706055,28.3799991607666,27.579999923706055,28.260000228881836,262437,ARJO-B.ST,27.509899959564212
2026-08-19,28.200000762939453,28.420000076293945,28.0,28.260000228881836,157105,ARJO-B.ST,27.49929996490479
2026-08-20,28.34000015258789,28.700000762939453,28.200000762939453,28.700000762939453,318735,ARJO-B.ST,27.4905999660492
2026-08-21,28.5,28.579999923706055,28.100000381469727,28.459999084472656,247089,ARJO-B.ST,27.480399961471562
2026-08-24,28.520000457763672,28.6200008392334,28.139999389648438,28.139999389648438,197333,ARJO-B.ST,27.470099954605107
2026-08-17,356.1000061035156,356.6000061035156,351.5,351.8999938964844,909552,ASSA-B.ST,353.8454998779296
2026-08-18,350.0,350.79998779296875,344.29998779296875,346.70001220703125,1120813,ASSA-B.ST,353.7659999084472
2026-08-19,346.6000061035156,349.8999938964844,345.1000061035156,348.8999938964844,1146619,ASSA-B.ST,353.69699981689445
2026-08-20,347.8999938964844,353.5,347.5,352.3999938964844,1190232,ASSA-B.ST,353.65199981689443
2026-08-21,354.20001220703125,355.6000061035156,352.6000061035156,354.3999938964844,1270344,ASSA-B.ST,353.61949981689446
2026-08-24,354.29998779296875,355.20001220703125,350.70001220703125,350.70001220703125,729571,ASSA-B.ST,353.57949981689444
2026-08-17,209.5,209.8000030517578,206.6999969482422,207.8000030517578,2702757,ATCO-A.ST,180.06500022888184
2026-08-18,205.5,205.89999389648438,202.0,202.3000030517578,3507225,ATCO-A.ST,180.22500022888184
2026-08-19,202.3000030517578,203.10000610351562,198.8000030517578,200.1999969482422,4178482,ATCO-A.ST,180.39250022888183
2026-08-20,200.0,201.6999969482422,199.39999389648438,201.1999969482422,4010711,ATCO-A.ST,180.57500022888183
2026-08-21,202.10000610351562,205.60000610351562,201.3000030517578,204.6999969482422,2878291,ATCO-A.ST,180.77375022888182
2026-08-24,204.0,206.1999969482422,203.0,203.39999389648438,2195985,ATCO-A.ST,180.99000022888183
2026-08-17,181.1999969482422,182.3000030517578,180.1999969482422,180.5500030517578,804926,ATCO-B.ST,158.89674987792966
2026-08-18,179.1999969482422,179.25,176.3000030517578,176.85000610351562,1082169,ATCO-B.ST,159.02324989318845
2026-08-19,176.85000610351562,177.35000610351562,173.6999969482422,174.5,934828,ATCO-B.ST,159.16074989318847
2026-08-20,174.5,176.0,174.14999389648438,175.5,747423,ATCO-B.ST,159.31099990844726
2026-08-21,175.75,179.25,175.75,178.0500030517578,918474,ATCO-B.ST,159.47274993896482
2026-08-24,177.5500030517578,179.25,176.9499969482422,176.9499969482422,681274,ATCO-B.ST,159.64374992370603
2026-08-17,26.200000762939453,26.200000762939453,25.700000762939453,25.899999618530273,3541819,ATRLJ-B.ST,30.677800016403204
2026-08-18,25.899999618530273,26.100000381469727,25.649999618530273,25.950000762939453,168797,ATRLJ-B.ST,30.630900011062625
2026-08-19,25.950000762939453,25.950000762939453,25.5,25.850000381469727,271333,ATRLJ-B.ST,30.586625003814703
2026-08-20,25.850000381469727,26.0,25.600000381469727,25.700000762939453,201933,ATRLJ-B.ST,30.541800003051762
2026-08-21,25.700000762939453,26.100000381469727,25.549999237060547,25.850000381469727,192770,ATRLJ-B.ST,30.497600011825565
2026-08-24,25.799999237060547,25.950000762939453,25.600000381469727,25.75,278456,ATRLJ-B.ST,30.4550500202179
2026-08-17,109.5999984741211,111.4000015258789,107.9000015258789,111.4000015258789,202401,ATT.ST,99.32174991607666
2026-08-18,111.0,112.5999984741211,110.9000015258789,112.4000015258789,184406,ATT.ST,99.48724990844727
2026-08-19,112.19999694824219,117.5999984741211,112.19999694824219,116.4000015258789,338746,ATT.ST,99.67124992370606
2026-08-20,118.19999694824219,120.0999984741211,113.5,117.69999694824219,585647,ATT.ST,99.86274990081787
2026-08-21,116.80000305175781,121.30000305175781,116.30000305175781,117.0,702633,ATT.ST,100.04224990844726
2026-08-24,117.0,119.19999694824219,116.4000015258789,117.69999694824219,202599,ATT.ST,100.22724990844726
2026-08-17,235.8000030517578,236.39999389648438,234.0,234.39999389648438,303523,AXFO.ST,283.71399986267085
