ticker,ex_date,dividend
AAK.ST,2006-11-13,4.833333
AAK.ST,2007-05-22,0.666667
AAK.ST,2008-05-22,0.666667
AAK.ST,2009-05-20,0.666667
AAK.ST,2010-05-21,0.708333
AAK.ST,2011-05-18,0.75
AAK.ST,2012-05-16,0.791667
AAK.ST,2013-05-06,0.875
AAK.ST,2014-05-09,1.0
AAK.ST,2015-05-06,1.125
AAK.ST,2016-05-12,1.291667
AAK.ST,2017-05-18,1.458333
AAK.ST,2018-05-31,1.625
AAK.ST,2019-05-16,1.85
AAK.ST,2020-11-27,2.1
AAK.ST,2021-05-10,2.3
AAK.ST,2022-05-19,2.5
AAK.ST,2023-05-05,2.75
AAK.ST,2024-05-10,3.7
AAK.ST,2025-05-09,5.0
AAK.ST,2026-05-11,9.35
ABB.ST,2006-05-09,1.405752
ABB.ST,2007-05-08,2.811504
ABB.ST,2008-07-28,5.623008
ABB.ST,2009-07-28,5.623008
ABB.ST,2010-07-12,5.974446
ABB.ST,2011-05-03,7.02876
ABB.ST,2012-04-30,7.6144896
ABB.ST,2013-04-29,7.9659276
ABB.ST,2014-05-05,8.200219
ABB.ST,2015-05-05,6.44303
ABB.ST,2016-07-11,8.668804
ABB.ST,2017-04-19,8.903095
ABB.ST,2018-04-04,9.137387
ABB.ST,2019-05-06,9.37168
ABB.ST,2020-03-30,9.37168
ABB.ST,2021-03-29,9.37168
ABB.ST,2022-03-28,9.605971
ABB.ST,2023-03-27,9.840263
ABB.ST,2024-03-25,10.191702
ABB.ST,2025-03-31,10.543139
ABB.ST,2026-03-23,11.0117235
ADDT-B.ST,2002-08-21,0.1
ADDT-B.ST,2003-08-20,0.125
ADDT-B.ST,2006-08-23,0.333333
ADDT-B.ST,2007-08-28,0.5
ADDT-B.ST,2008-08-26,0.583333
ADDT-B.ST,2009-08-25,0.416667
ADDT-B.ST,2010-08-25,0.416667
ADDT-B.ST,2011-08-24,0.583333
ADDT-B.ST,2012-08-30,0.666667
ADDT-B.ST,2013-08-29,0.666667
ADDT-B.ST,2014-08-28,0.75
ADDT-B.ST,2015-08-28,0.8125
ADDT-B.ST,2016-09-01,0.8125
ADDT-B.ST,2017-09-01,0.875
ADDT-B.ST,2018-08-31,1.0
ADDT-B.ST,2019-08-30,1.25
ADDT-B.ST,2020-08-31,1.0
ADDT-B.ST,2021-08-27,1.2
ADDT-B.ST,2022-08-26,1.8
ADDT-B.ST,2023-08-24,2.5
ADDT-B.ST,2024-08-23,2.8
ADDT-B.ST,2025-08-28,3.2
ALIG.ST,2016-05-12,1.368226
ALIG.ST,2017-05-12,1.194521
ALIG.ST,2018-05-17,1.717123
ALIG.ST,2019-05-10,2.053082
ALIG.ST,2020-05-08,1.306507
ALIG.ST,2021-05-07,2.239726
ALIG.ST,2022-05-06,2.463699
ALIG.ST,2023-05-05,1.82
ALIG.ST,2024-04-30,2.5
ALIG.ST,2025-05-02,3.0
ALIG.ST,2026-05-07,3.3
ALIV-SDB.ST,2000-02-01,1.0467709
ALIV-SDB.ST,2000-05-04,1.0467709
ALIV-SDB.ST,2000-08-08,1.0467709
ALIV-SDB.ST,2000-11-07,1.10748
ALIV-SDB.ST,2001-01-30,1.0467709
ALIV-SDB.ST,2001-05-08,1.0467709
ALIV-SDB.ST,2001-08-07,1.0467709
ALIV-SDB.ST,2001-11-06,1.0467709
ALIV-SDB.ST,2002-02-05,1.0467709
ALIV-SDB.ST,2002-05-06,1.0467709
ALIV-SDB.ST,2002-08-06,1.0467709
ALIV-SDB.ST,2002-11-05,1.0467709
ALIV-SDB.ST,2003-08-05,1.237093
ALIV-SDB.ST,2003-11-05,1.427415
ALIV-SDB.ST,2004-02-03,1.427415
ALIV-SDB.ST,2004-05-04,1.90322
ALIV-SDB.ST,2004-08-10,1.90322
ALIV-SDB.ST,2004-11-09,1.90322
ALIV-SDB.ST,2005-02-01,2.379025
ALIV-SDB.ST,2005-05-02,2.379025
ALIV-SDB.ST,2006-01-31,3.045152
ALIV-SDB.ST,2006-08-08,3.3306348
ALIV-SDB.ST,2006-11-07,3.520957
ALIV-SDB.ST,2007-01-30,2.6
ALIV-SDB.ST,2007-05-08,2.63
ALIV-SDB.ST,2007-08-07,2.61
ALIV-SDB.ST,2007-11-06,2.5
ALIV-SDB.ST,2008-05-06,2.47
ALIV-SDB.ST,2008-08-05,2.5063
ALIV-SDB.ST,2008-11-04,3.17
ALIV-SDB.ST,2009-02-03,1.75668
ALIV-SDB.ST,2010-08-03,2.13
ALIV-SDB.ST,2010-11-02,2.34
ALIV-SDB.ST,2011-02-01,3.80644
ALIV-SDB.ST,2011-05-03,4.091923
ALIV-SDB.ST,2011-08-16,4.2822447
ALIV-SDB.ST,2011-11-15,4.2822447
ALIV-SDB.ST,2012-02-13,4.2822447
ALIV-SDB.ST,2012-05-21,4.472567
ALIV-SDB.ST,2012-08-20,4.472567
ALIV-SDB.ST,2012-11-19,4.75805
ALIV-SDB.ST,2013-02-19,4.75805
ALIV-SDB.ST,2013-05-20,4.75805
ALIV-SDB.ST,2013-08-19,4.75805
ALIV-SDB.ST,2013-11-18,4.75805
ALIV-SDB.ST,2014-02-18,4.948372
ALIV-SDB.ST,2014-05-19,4.948372
ALIV-SDB.ST,2014-08-18,5.1386943
ALIV-SDB.ST,2014-11-18,5.1386943
ALIV-SDB.ST,2015-02-18,5.1386943
ALIV-SDB.ST,2015-05-19,5.329016
ALIV-SDB.ST,2015-08-19,5.329016
ALIV-SDB.ST,2015-11-17,5.329016
ALIV-SDB.ST,2016-02-17,5.329016
ALIV-SDB.ST,2016-05-17,4.7774
ALIV-SDB.ST,2016-08-17,4.8846
ALIV-SDB.ST,2016-11-15,5.3032
ALIV-SDB.ST,2017-02-14,5.18
ALIV-SDB.ST,2017-11-21,5.70966
ALIV-SDB.ST,2018-02-21,5.70966
ALIV-SDB.ST,2018-05-22,5.899982
ALIV-SDB.ST,2018-08-21,5.899982
ALIV-SDB.ST,2018-11-20,5.899982
ALIV-SDB.ST,2019-02-21,5.899982
ALIV-SDB.ST,2019-05-21,5.899982
ALIV-SDB.ST,2019-08-20,5.899982
ALIV-SDB.ST,2019-11-19,5.899982
ALIV-SDB.ST,2020-02-19,5.899982
ALIV-SDB.ST,2021-05-27,5.899982
ALIV-SDB.ST,2021-09-08,5.899982
ALIV-SDB.ST,2021-11-26,6.090304
ALIV-SDB.ST,2022-03-07,6.090304
ALIV-SDB.ST,2022-05-23,6.090304
ALIV-SDB.ST,2022-09-06,6.090304
