ticker,metric,as_of_date,value,currency_code,current_trailing_eps,is_latest_metric_row
ADDT-B.ST,quarterlyBasicEPS,2025-12-31,1.9,SEK,8.25,False
ADDT-B.ST,quarterlyBasicEPS,2026-03-31,2.25,SEK,8.25,False
ADDT-B.ST,quarterlyBasicEPS,2026-06-30,2.3,SEK,8.25,True
ADDT-B.ST,quarterlyDilutedEPS,2024-12-31,1.65,SEK,8.25,False
ADDT-B.ST,quarterlyDilutedEPS,2025-03-31,1.95,SEK,8.25,False
ADDT-B.ST,quarterlyDilutedEPS,2025-06-30,2.0,SEK,8.25,False
ADDT-B.ST,quarterlyDilutedEPS,2025-12-31,1.9,SEK,8.25,False
ADDT-B.ST,quarterlyDilutedEPS,2026-03-31,2.25,SEK,8.25,False
ADDT-B.ST,quarterlyDilutedEPS,2026-06-30,2.3,SEK,8.25,True
ADDT-B.ST,trailingBasicEPS,2023-09-30,6.05,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2023-12-31,6.1,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2024-03-31,6.05,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2024-06-30,6.45,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2024-09-30,6.45,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2024-12-31,6.65,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2025-03-31,7.0,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2025-06-30,7.2,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2025-12-31,7.65,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2026-03-31,7.95,SEK,8.25,False
ADDT-B.ST,trailingBasicEPS,2026-06-30,8.25,SEK,8.25,True
ADDT-B.ST,trailingDilutedEPS,2023-09-30,6.05,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2023-12-31,6.1,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2024-03-31,6.05,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2024-06-30,6.45,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2024-09-30,6.45,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2024-12-31,6.65,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2025-03-31,7.0,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2025-06-30,7.2,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2025-12-31,7.65,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2026-03-31,7.95,SEK,8.25,False
ADDT-B.ST,trailingDilutedEPS,2026-06-30,8.25,SEK,8.25,True
ALIG.ST,quarterlyBasicEPS,2024-12-31,1.83,SEK,5.14,False
ALIG.ST,quarterlyBasicEPS,2025-03-31,1.74,SEK,5.14,False
ALIG.ST,quarterlyBasicEPS,2025-06-30,1.74,SEK,5.14,False
ALIG.ST,quarterlyBasicEPS,2025-12-31,0.98,SEK,5.14,False
ALIG.ST,quarterlyBasicEPS,2026-03-31,1.39,SEK,5.14,False
ALIG.ST,quarterlyBasicEPS,2026-06-30,1.57,SEK,5.14,True
ALIG.ST,quarterlyDilutedEPS,2024-12-31,1.83,SEK,5.14,False
ALIG.ST,quarterlyDilutedEPS,2025-03-31,1.73,SEK,5.14,False
ALIG.ST,quarterlyDilutedEPS,2025-06-30,1.73,SEK,5.14,False
ALIG.ST,quarterlyDilutedEPS,2025-12-31,0.97,SEK,5.14,False
ALIG.ST,quarterlyDilutedEPS,2026-03-31,1.38,SEK,5.14,False
ALIG.ST,quarterlyDilutedEPS,2026-06-30,1.57,SEK,5.14,True
ALIG.ST,trailingBasicEPS,2023-09-30,5.94589,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2023-12-31,5.25,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2024-03-31,4.77,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2024-06-30,4.9,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2024-09-30,5.16,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2024-12-31,5.89,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2025-03-31,6.39,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2025-06-30,6.78,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2025-12-31,5.71,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2026-03-31,5.36,SEK,5.14,False
ALIG.ST,trailingBasicEPS,2026-06-30,5.2,SEK,5.14,True
ALIG.ST,trailingDilutedEPS,2023-09-30,5.94589,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2023-12-31,5.25,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2024-03-31,4.77,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2024-06-30,4.89,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2024-09-30,5.15,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2024-12-31,5.87,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2025-03-31,6.36,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2025-06-30,6.75,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2025-12-31,5.65,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2026-03-31,5.3,SEK,5.14,False
ALIG.ST,trailingDilutedEPS,2026-06-30,5.14,SEK,5.14,True
ALIV-SDB.ST,quarterlyBasicEPS,2024-12-31,3.103448,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2025-03-31,2.15,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2025-06-30,2.17,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2025-09-30,2.29,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2025-12-31,2.997347,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2026-03-31,1.89,USD,8.48,False
ALIV-SDB.ST,quarterlyBasicEPS,2026-06-30,1.35,USD,8.48,True
ALIV-SDB.ST,quarterlyDilutedEPS,2024-12-31,3.1,USD,8.48,False
ALIV-SDB.ST,quarterlyDilutedEPS,2025-03-31,2.14,USD,8.48,False
ALIV-SDB.ST,quarterlyDilutedEPS,2025-06-30,2.16,USD,8.48,False
ALIV-SDB.ST,quarterlyDilutedEPS,2025-12-31,2.98,USD,8.48,False
ALIV-SDB.ST,quarterlyDilutedEPS,2026-03-31,1.88,USD,8.48,False
ALIV-SDB.ST,quarterlyDilutedEPS,2026-06-30,1.35,USD,8.48,True
ALIV-SDB.ST,trailingBasicEPS,2023-09-30,4.85,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2023-12-31,5.74,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2024-03-31,6.41,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2024-06-30,7.5,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2024-09-30,7.68,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2024-12-31,8.06,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2025-03-31,8.68,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2025-06-30,9.14,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2025-12-31,9.59,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2026-03-31,9.33,USD,8.48,False
ALIV-SDB.ST,trailingBasicEPS,2026-06-30,8.52,USD,8.48,True
ALIV-SDB.ST,trailingDilutedEPS,2023-09-30,4.83,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2023-12-31,5.72,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2024-03-31,6.38,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2024-06-30,7.48,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2024-09-30,7.66,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2024-12-31,8.04,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2025-03-31,8.66,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2025-06-30,9.12,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2025-12-31,9.55,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2026-03-31,9.29,USD,8.48,False
ALIV-SDB.ST,trailingDilutedEPS,2026-06-30,8.48,USD,8.48,True
ALLEI.ST,quarterlyBasicEPS,2024-12-31,1.18,SEK,3.65,False
ALLEI.ST,quarterlyBasicEPS,2025-03-31,1.57,SEK,3.65,False
ALLEI.ST,quarterlyBasicEPS,2025-06-30,0.81,SEK,3.65,False
ALLEI.ST,quarterlyBasicEPS,2025-12-31,-0.05,SEK,3.65,False
ALLEI.ST,quarterlyBasicEPS,2026-03-31,1.16,SEK,3.65,False
ALLEI.ST,quarterlyBasicEPS,2026-06-30,2.2,SEK,3.65,True
ALLEI.ST,quarterlyDilutedEPS,2024-12-31,1.18,SEK,3.65,False
ALLEI.ST,quarterlyDilutedEPS,2025-03-31,1.57,SEK,3.65,False
ALLEI.ST,quarterlyDilutedEPS,2025-06-30,0.81,SEK,3.65,False
ALLEI.ST,quarterlyDilutedEPS,2025-12-31,-0.05,SEK,3.65,False
ALLEI.ST,quarterlyDilutedEPS,2026-03-31,1.16,SEK,3.65,False
ALLEI.ST,quarterlyDilutedEPS,2026-06-30,2.2,SEK,3.65,True
ALLEI.ST,trailingBasicEPS,2023-09-30,6.32,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2024-03-31,3.24,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2024-06-30,4.91,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2024-09-30,5.3,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2024-12-31,4.88,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2025-03-31,6.24,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2025-06-30,4.52,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2025-12-31,2.68,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2026-03-31,2.27,SEK,3.65,False
ALLEI.ST,trailingBasicEPS,2026-06-30,3.65,SEK,3.65,True
ALLEI.ST,trailingDilutedEPS,2023-09-30,6.32,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2024-03-31,3.23,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2024-06-30,4.89,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2024-09-30,5.29,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2024-12-31,4.87,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2025-03-31,6.23,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2025-06-30,4.51,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2025-12-31,2.68,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2026-03-31,2.27,SEK,3.65,False
ALLEI.ST,trailingDilutedEPS,2026-06-30,3.65,SEK,3.65,True
ANOD-B.ST,quarterlyBasicEPS,2024-12-31,0.98,SEK,2.4,False
ANOD-B.ST,quarterlyBasicEPS,2025-03-31,0.67,SEK,2.4,False
ANOD-B.ST,quarterlyBasicEPS,2025-06-30,0.78,SEK,2.4,False
ANOD-B.ST,quarterlyBasicEPS,2025-12-31,1.01,SEK,2.4,False
ANOD-B.ST,quarterlyBasicEPS,2026-03-31,0.83,SEK,2.4,False
ANOD-B.ST,quarterlyBasicEPS,2026-06-30,0.15,SEK,2.4,True
ANOD-B.ST,quarterlyDilutedEPS,2024-12-31,0.98,SEK,2.4,False
ANOD-B.ST,quarterlyDilutedEPS,2025-03-31,0.67,SEK,2.4,False
ANOD-B.ST,quarterlyDilutedEPS,2025-06-30,0.78,SEK,2.4,False
ANOD-B.ST,quarterlyDilutedEPS,2025-12-31,1.01,SEK,2.4,False
ANOD-B.ST,quarterlyDilutedEPS,2026-03-31,0.83,SEK,2.4,False
ANOD-B.ST,quarterlyDilutedEPS,2026-06-30,0.15,SEK,2.4,True
ANOD-B.ST,trailingBasicEPS,2023-09-30,2.07,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2023-12-31,2.09,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2024-03-31,2.21,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2024-06-30,2.37,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2024-09-30,2.82,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2025-03-31,2.79,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2025-06-30,3.16,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2025-12-31,2.87,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2026-03-31,3.03,SEK,2.4,False
ANOD-B.ST,trailingBasicEPS,2026-06-30,2.4,SEK,2.4,True
ANOD-B.ST,trailingDilutedEPS,2023-09-30,2.07,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2023-12-31,2.09,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2024-03-31,2.21,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2024-06-30,2.37,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2024-09-30,2.82,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2025-03-31,2.79,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2025-06-30,3.16,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2025-12-31,2.87,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2026-03-31,3.03,SEK,2.4,False
ANOD-B.ST,trailingDilutedEPS,2026-06-30,2.4,SEK,2.4,True
ARJO-B.ST,quarterlyBasicEPS,2024-12-31,0.64,SEK,1.42,False
ARJO-B.ST,quarterlyBasicEPS,2025-03-31,0.34,SEK,1.42,False
ARJO-B.ST,quarterlyBasicEPS,2025-06-30,0.34,SEK,1.42,False
ARJO-B.ST,quarterlyBasicEPS,2025-12-31,0.26,SEK,1.42,False
ARJO-B.ST,quarterlyBasicEPS,2026-03-31,0.4,SEK,1.42,False
ARJO-B.ST,quarterlyBasicEPS,2026-06-30,0.46,SEK,1.42,True
ARJO-B.ST,quarterlyDilutedEPS,2024-12-31,0.64,SEK,1.42,False
ARJO-B.ST,quarterlyDilutedEPS,2025-03-31,0.34,SEK,1.42,False
ARJO-B.ST,quarterlyDilutedEPS,2025-06-30,0.34,SEK,1.42,False
ARJO-B.ST,quarterlyDilutedEPS,2025-12-31,0.26,SEK,1.42,False
ARJO-B.ST,quarterlyDilutedEPS,2026-03-31,0.4,SEK,1.42,False
ARJO-B.ST,quarterlyDilutedEPS,2026-06-30,0.46,SEK,1.42,True
ARJO-B.ST,trailingBasicEPS,2023-09-30,1.42,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2024-03-31,1.82,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2024-06-30,1.88,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2024-09-30,1.85,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2025-03-31,1.69,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2025-06-30,1.58,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2025-12-31,1.23,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2026-03-31,1.29,SEK,1.42,False
ARJO-B.ST,trailingBasicEPS,2026-06-30,1.42,SEK,1.42,True
ARJO-B.ST,trailingDilutedEPS,2023-09-30,1.42,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2024-03-31,1.82,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2024-06-30,1.88,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2024-09-30,1.85,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2025-03-31,1.69,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2025-06-30,1.58,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2025-12-31,1.23,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2026-03-31,1.29,SEK,1.42,False
ARJO-B.ST,trailingDilutedEPS,2026-06-30,1.42,SEK,1.42,True
ASSA-B.ST,quarterlyBasicEPS,2024-12-31,3.85,SEK,14.75,False
ASSA-B.ST,quarterlyBasicEPS,2025-03-31,2.21,SEK,14.75,False
ASSA-B.ST,quarterlyBasicEPS,2025-06-30,3.43,SEK,14.75,False
ASSA-B.ST,quarterlyBasicEPS,2025-12-31,3.86,SEK,14.75,False
ASSA-B.ST,quarterlyBasicEPS,2026-03-31,3.18,SEK,14.75,False
ASSA-B.ST,quarterlyBasicEPS,2026-06-30,3.98,SEK,14.75,True
ASSA-B.ST,quarterlyDilutedEPS,2024-12-31,3.81,SEK,14.75,False
ASSA-B.ST,quarterlyDilutedEPS,2026-06-30,3.98,SEK,14.75,True
ASSA-B.ST,trailingBasicEPS,2023-09-30,12.07,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2023-12-31,12.27,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2024-03-31,12.94,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2024-06-30,13.24,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2024-09-30,13.79,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2024-12-31,14.08,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2025-03-31,13.18,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2025-06-30,13.09,SEK,14.75,False
ASSA-B.ST,trailingBasicEPS,2025-12-31,13.23,SEK,14.75,False
