ticker,periods,direct_periods,reconstructed_periods,report_dates_mapped,report_dates_missing,first_period_end,last_period_end,max_report_lag_days,price_currency,report_currency,currency_ready
AAK.ST,12,11,1,12,0,2023-09-30,2026-06-30,38,SEK,SEK,True
ABB.ST,12,11,1,12,0,2023-09-30,2026-06-30,32,SEK,USD,True
ADDT-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,50,SEK,SEK,True
ALIG.ST,12,11,1,12,0,2023-09-30,2026-06-30,44,SEK,SEK,True
ALIV-SDB.ST,12,11,1,12,0,2023-09-30,2026-06-30,31,SEK,USD,True
ALLEI.ST,11,10,1,11,0,2023-09-30,2026-06-30,27,SEK,SEK,True
ANOD-B.ST,11,10,1,11,0,2023-09-30,2026-06-30,34,SEK,SEK,True
ARJO-B.ST,10,9,1,10,0,2023-09-30,2026-06-30,30,SEK,SEK,True
ASSA-B.ST,11,11,0,11,0,2023-09-30,2026-06-30,38,SEK,SEK,True
ATCO-A.ST,11,10,1,11,0,2023-09-30,2026-06-30,29,SEK,SEK,True
ATCO-B.ST,12,11,1,10,2,2023-09-30,2026-06-30,29,SEK,SEK,True
ATRLJ-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,31,SEK,SEK,True
ATT.ST,12,11,1,11,1,2023-09-30,2026-06-30,50,SEK,SEK,True
AXFO.ST,11,10,1,11,0,2023-09-30,2026-06-30,30,SEK,SEK,True
AZA.ST,12,10,2,12,0,2023-09-30,2026-06-30,21,SEK,SEK,True
AZN.ST,10,9,1,10,0,2023-09-30,2026-06-30,43,SEK,USD,True
BAHN-B.ST,11,11,0,9,2,2023-09-30,2026-03-31,51,SEK,SEK,True
BALD-B.ST,12,11,1,11,1,2023-09-30,2026-06-30,40,SEK,SEK,True
BEIA-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,46,SEK,SEK,True
BEIJ-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,31,SEK,SEK,True
BERG-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,45,SEK,SEK,True
BETS-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,46,SEK,EUR,True
BILI-A.ST,12,11,1,12,0,2023-09-30,2026-06-30,38,SEK,SEK,True
BIOG-B.ST,12,11,1,10,2,2023-09-30,2026-06-30,43,SEK,SEK,True
BOL.ST,12,11,1,12,0,2023-09-30,2026-06-30,39,SEK,SEK,True
BORG.ST,11,11,0,9,2,2023-09-30,2026-03-31,51,SEK,SEK,True
BRAV.ST,12,11,1,12,0,2023-09-30,2026-06-30,49,SEK,SEK,True
BTS-B.ST,11,11,0,11,0,2023-09-30,2026-03-31,57,SEK,SEK,True
CAST.ST,12,11,1,12,0,2023-09-30,2026-06-30,50,SEK,SEK,True
CATE.ST,11,10,1,11,0,2023-09-30,2026-06-30,51,SEK,SEK,True
CIBUS.ST,11,10,1,10,1,2023-09-30,2026-06-30,78,SEK,EUR,True
CLA-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,37,SEK,SEK,True
CLAS-B.ST,11,11,0,10,1,2023-10-31,2026-04-30,43,SEK,SEK,True
COOR.ST,12,11,1,12,0,2023-09-30,2026-06-30,42,SEK,SEK,True
CTT.ST,11,10,1,10,1,2023-09-30,2026-06-30,38,SEK,SEK,True
DIOS.ST,11,10,1,9,2,2023-09-30,2026-06-30,44,SEK,SEK,True
DOM.ST,12,11,1,12,0,2023-09-30,2026-06-30,31,SEK,SEK,True
DUNI.ST,13,12,1,10,3,2022-09-30,2026-06-30,42,SEK,SEK,True
DYVOX.ST,11,10,1,11,0,2023-09-30,2026-06-30,36,SEK,SEK,True
EAST.ST,12,11,1,10,2,2023-09-30,2026-06-30,36,SEK,EUR,True
EKTA-B.ST,10,10,0,10,0,2023-10-31,2026-04-30,36,SEK,SEK,True
EMBRAC-B.ST,10,10,0,10,0,2023-09-30,2026-03-31,53,SEK,SEK,True
EPI-A.ST,11,10,1,11,0,2023-09-30,2026-06-30,30,SEK,SEK,True
EPI-B.ST,12,11,1,10,2,2023-09-30,2026-06-30,30,SEK,SEK,True
EQL.ST,10,9,1,10,0,2024-03-31,2026-06-30,46,SEK,SEK,True
EQT.ST,5,5,0,5,0,2023-06-30,2025-12-31,23,SEK,EUR,True
ERIC-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,24,SEK,SEK,True
ESSITY-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,26,SEK,SEK,True
EVO.ST,10,9,1,10,0,2023-09-30,2026-06-30,36,SEK,EUR,True
FABG.ST,11,10,1,11,0,2023-09-30,2026-06-30,37,SEK,SEK,True
FOI-B.ST,12,11,1,0,12,2023-09-30,2026-06-30,,SEK,EUR,True
GENO.ST,12,12,0,12,0,2023-09-30,2026-06-30,51,SEK,SEK,True
GETI-B.ST,12,11,1,12,0,2023-09-30,2026-06-30,32,SEK,SEK,True
HANZA.ST,12,11,1,12,0,2023-09-30,2026-06-30,55,SEK,SEK,True
HEXA-B.ST,11,10,1,11,0,2023-09-30,2026-06-30,32,SEK,EUR,True
HMS.ST,11,10,1,11,0,2023-09-30,2026-06-30,28,SEK,SEK,True
HOLM-A.ST,12,11,1,0,12,2023-09-30,2026-06-30,,SEK,SEK,True
HPOL-B.ST,11,10,1,11,0,2023-09-30,2026-06-30,34,SEK,SEK,True
HTRO.ST,12,11,1,12,0,2023-09-30,2026-06-30,40,SEK,SEK,True
HUFV-A.ST,11,10,1,11,0,2023-09-30,2026-06-30,53,SEK,SEK,True
INDT.ST,12,11,1,12,0,2023-09-30,2026-06-30,32,SEK,SEK,True
INDU-A.ST,13,12,1,0,13,2022-12-31,2026-06-30,,SEK,SEK,True
