ticker,earliest_eps_period_end,earliest_eps_quarter,earliest_usable_period_end,earliest_usable_quarter,earliest_usable_report_date,periods_with_eps,periods_with_report_date,periods_before_first_usable,start_status
SWEC-A.ST,2023-09-30,2023-Q3,,,,12,0,12,eps_exists_but_no_report_date
SWEC-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,12,12,0,usable
SWED-A.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,12,12,0,usable
SYSR.ST,2023-10-31,2023-Q4,2023-10-31,2023-Q4,2023-12-07,10,10,0,usable
TEL2-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-18,11,11,0,usable
THULE.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
TREL-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-26,11,11,0,usable
VBG-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,12,12,0,usable
VIT-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-19,10,10,0,usable
VITR.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-27,11,11,0,usable
VIVA.ST,2023-09-30,2023-Q3,2023-12-31,2023-Q4,2024-02-22,11,9,1,usable
VOLV-A.ST,2023-09-30,2023-Q3,,,,12,0,12,eps_exists_but_no_report_date
WALL-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-20,11,11,0,usable
WIHL.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-10-24,11,9,0,usable
ZZ-B.ST,2023-09-30,2023-Q3,2023-09-30,2023-Q3,2023-11-16,9,6,0,usable
