start_status,earliest_usable_quarter,count,tickers
usable,2022-Q3,1,DUNI.ST
usable,2022-Q4,2,INDU-A.ST;MYCR.ST
usable,2023-Q2,1,EQT.ST
usable,2023-Q3,106,AAK.ST;ABB.ST;ADDT-B.ST;ALIG.ST;ALIV-SDB.ST;ALLEI.ST;ANOD-B.ST;ARJO-B.ST;ASSA-B.ST;ATCO-A.ST;ATCO-B.ST;ATRLJ-B.ST;ATT.ST;AXFO.ST;AZA.ST;AZN.ST;BAHN-B.ST;BALD-B.ST;BEIA-B.ST;BEIJ-B.ST;BERG-B.ST;BETS-B.ST;BILI-A.ST;BIOG-B.ST;BOL.ST;BORG.ST;BRAV.ST;BTS-B.ST;CAST.ST;CATE.ST;CLA-B.ST;COOR.ST;CTT.ST;DIOS.ST;DOM.ST;DYVOX.ST;EMBRAC-B.ST;EPI-A.ST;EPI-B.ST;ERIC-B.ST;ESSITY-B.ST;EVO.ST;FABG.ST;GENO.ST;GETI-B.ST;HANZA.ST;HEXA-B.ST;HMS.ST;HOLM-A.ST;HPOL-B.ST;HTRO.ST;HUFV-A.ST;INDT.ST;INTRUM.ST;INVE-A.ST;INWI.ST;KAMBI.ST;KNOW.ST;LAGR-B.ST;LIFCO-B.ST;LIME.ST;LOOMIS.ST;LUMI.ST;MCAP.ST;MSAB-B.ST;MTG-B.ST;MTRS.ST;NDA-SE.ST;NEWA-B.ST;NIBE-B.ST;NMAN.ST;NOLA-B.ST;NORION.ST;PACT.ST;PEAB-B.ST;PLAZ-B.ST;PNDX-B.ST;REJL-B.ST;SAAB-B.ST;SAGA-A.ST;SAVE.ST;SCA-B.ST;SCST.ST;SEB-A.ST;SECARE.ST;SECU-B.ST;SFAST.ST;SHB-A.ST;SHOT.ST;SINT.ST;SOBI.ST;SVED-B.ST;SWEC-A.ST;SWEC-B.ST;SWED-A.ST;TEL2-B.ST;THULE.ST;TREL-B.ST;VBG-B.ST;VIT-B.ST;VITR.ST;VIVA.ST;VOLV-A.ST;WALL-B.ST;WIHL.ST;ZZ-B.ST
usable,2023-Q4,2,EKTA-B.ST;SYSR.ST
usable,2024-Q1,5,CIBUS.ST;EAST.ST;EQL.ST;FOI-B.ST;MCOV-B.ST
usable,2024-Q3,1,CLAS-B.ST
usable,2025-Q3,1,SECT-B.ST
