ticker,report_period,period_end,historical_report_date,yahoo_report_date,report_date_delta_days,report_date_status,historical_eps_ttm,historical_currency,yahoo_eps_ttm,yahoo_eps_currency,error_pct,value_status,historical_alignment_status,yahoo_observed_date
MCAP.ST,2026-Q2,2026-06-30,2026-07-21,2026-07-20,1.0,near,16.1,SEK,16.1,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
MCOV-B.ST,2026-Q2,2026-06-30,2026-07-22,2026-07-21,1.0,near,0.559,EUR,0.559,EUR,0.0,match,yahoo_trailing_diluted,2026-08-15
MSAB-B.ST,,2026-06-30,,2026-04-28,,no_same_period_history,,,3.76,SEK,,no_same_period_history,,2026-08-15
MTG-B.ST,2026-Q2,2026-06-30,2026-07-21,2026-07-21,0.0,match,1.43,SEK,1.43,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
MTRS.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-17,0.0,match,2.68,SEK,2.68,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
MYCR.ST,2026-Q2,2026-06-30,2026-07-14,2026-07-13,1.0,near,8.88,SEK,8.88,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
NDA-SE.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,1.37,EUR,1.37,EUR,0.0,match,yahoo_trailing_diluted,2026-08-15
NEWA-B.ST,2026-Q1,2026-06-30,2026-08-20,2026-08-20,0.0,match,6.05,SEK,6.05,SEK,0.0,match,yahoo_trailing_diluted,2026-08-23
NIBE-B.ST,2026-Q1,2026-06-30,2026-08-21,2026-08-21,0.0,match,1.31,SEK,1.31,SEK,0.0,match,yahoo_trailing_diluted,2026-08-23
NMAN.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-15,1.0,near,6.99,SEK,6.99,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
NOLA-B.ST,2026-Q2,2026-06-30,2026-07-17,2026-07-16,1.0,near,2.65,SEK,2.65,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
NORION.ST,,2026-06-30,,2026-04-23,,no_same_period_history,,,6.04,SEK,,no_same_period_history,,2026-08-15
PACT.ST,2026-Q2,2026-06-30,2026-07-16,2026-07-16,0.0,match,7.51,SEK,7.51,SEK,0.0,match,yahoo_trailing_diluted,2026-08-15
