ticker,report_period,report_date,gap_position,previous_comparable_period,previous_comparable_date,next_comparable_period,next_comparable_date,days_from_previous,days_to_next,stale_window_days,reference_eps_ttm,currency,recommended_action
MTRS.ST,2021-Q1,2021-04-22,leading,,,2023-Q3,2023-10-24,,915,,2.8772,SEK,optional_backfill_requires_verified_source
MTRS.ST,2021-Q2,2021-07-16,leading,,,2023-Q3,2023-10-24,,830,,3.1277,SEK,optional_backfill_requires_verified_source
MTRS.ST,2021-Q3,2021-10-22,leading,,,2023-Q3,2023-10-24,,732,,3.005,SEK,optional_backfill_requires_verified_source
MTRS.ST,2021-Q4,2022-02-04,leading,,,2023-Q3,2023-10-24,,627,,2.8114,SEK,optional_backfill_requires_verified_source
MTRS.ST,2022-Q1,2022-04-22,leading,,,2023-Q3,2023-10-24,,550,,2.5079,SEK,optional_backfill_requires_verified_source
MTRS.ST,2022-Q2,2022-07-15,leading,,,2023-Q3,2023-10-24,,466,,2.9837,SEK,optional_backfill_requires_verified_source
MTRS.ST,2022-Q3,2022-10-21,leading,,,2023-Q3,2023-10-24,,368,,3.1972,SEK,optional_backfill_requires_verified_source
MTRS.ST,2022-Q4,2023-02-09,leading,,,2023-Q3,2023-10-24,,257,,3.1702,SEK,optional_backfill_requires_verified_source
MTRS.ST,2023-Q1,2023-04-21,leading,,,2023-Q3,2023-10-24,,186,,3.7718,SEK,optional_backfill_requires_verified_source
MTRS.ST,2023-Q2,2023-07-18,leading,,,2023-Q3,2023-10-24,,98,,4.2456,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2018-Q3,2018-11-16,leading,,,2023-Q3,2023-11-15,,1825,,0.9693,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2018-Q4,2019-02-15,leading,,,2023-Q3,2023-11-15,,1734,,1.0296,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2019-Q1,2019-05-14,leading,,,2023-Q3,2023-11-15,,1646,,1.0679,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2019-Q2,2019-08-16,leading,,,2023-Q3,2023-11-15,,1552,,1.0719,SEK,optional_backfill_requires_verified_source
NIBE-B.ST,2019-Q3,2019-11-15,leading,,,2023-Q3,2023-11-15,,1461,,1.0843,SEK,optional_backfill_requires_verified_source
