date,base_currency,quote_currency,rate,yahoo_ticker
2026-08-04,EUR,SEK,11.007740020751953,EURSEK=X
2026-08-05,EUR,SEK,10.972800254821777,EURSEK=X
2026-08-06,EUR,SEK,10.956680297851562,EURSEK=X
2026-08-07,EUR,SEK,10.959799766540527,EURSEK=X
2026-08-10,EUR,SEK,10.958720207214355,EURSEK=X
2026-08-11,EUR,SEK,10.95419979095459,EURSEK=X
2026-08-12,EUR,SEK,10.986310005187988,EURSEK=X
2026-08-13,EUR,SEK,11.041299819946289,EURSEK=X
2026-08-14,EUR,SEK,11.018420219421387,EURSEK=X
2026-08-05,USD,SEK,9.514679908752441,USDSEK=X
2026-08-06,USD,SEK,9.48031997680664,USDSEK=X
2026-08-07,USD,SEK,9.511739730834961,USDSEK=X
2026-08-10,USD,SEK,9.482950210571289,USDSEK=X
2026-08-11,USD,SEK,9.485099792480469,USDSEK=X
2026-08-12,USD,SEK,9.517069816589355,USDSEK=X
2026-08-13,USD,SEK,9.57761001586914,USDSEK=X
2026-08-14,USD,SEK,9.51609992980957,USDSEK=X
