ticker,report_period,report_date
KAMBI.ST,2024-Q3,2024-11-06
KAMBI.ST,2024-Q4,2025-02-26
KAMBI.ST,2025-Q1,2025-04-30
KAMBI.ST,2025-Q2,2025-07-23
KAMBI.ST,2025-Q3,2025-11-05
KAMBI.ST,2025-Q4,2026-02-18
KAMBI.ST,2026-Q1,2026-04-29
KAMBI.ST,2026-Q2,2026-07-22
KNOW.ST,2024-Q1,2024-05-03
KNOW.ST,2024-Q2,2024-07-19
KNOW.ST,2024-Q3,2024-10-25
KNOW.ST,2024-Q4,2025-02-07
KNOW.ST,2025-Q1,2025-04-29
KNOW.ST,2025-Q2,2025-07-18
KNOW.ST,2025-Q3,2025-10-24
KNOW.ST,2025-Q4,2026-02-06
KNOW.ST,2026-Q1,2026-04-29
KNOW.ST,2026-Q2,2026-07-17
LAGR-B.ST,2024-Q4,2024-05-17
LAGR-B.ST,2025-Q1,2024-07-18
LAGR-B.ST,2025-Q2,2024-10-25
LAGR-B.ST,2025-Q3,2025-01-31
LAGR-B.ST,2025-Q4,2025-05-20
LAGR-B.ST,2026-Q1,2025-07-18
LAGR-B.ST,2026-Q2,2025-10-24
LAGR-B.ST,2026-Q3,2026-02-06
LAGR-B.ST,2026-Q4,2026-05-19
LAGR-B.ST,2027-Q1,2026-07-17
LIFCO-B.ST,2024-Q4,2025-01-31
LIFCO-B.ST,2025-Q1,2025-04-25
LIFCO-B.ST,2025-Q2,2025-07-14
LIFCO-B.ST,2025-Q3,2025-10-23
LIFCO-B.ST,2025-Q4,2026-01-30
LIFCO-B.ST,2026-Q1,2026-04-24
LIFCO-B.ST,2026-Q2,2026-07-14
LIME.ST,2024-Q1,2024-04-25
LIME.ST,2024-Q2,2024-07-12
LIME.ST,2024-Q3,2024-10-23
LIME.ST,2024-Q4,2025-02-12
LIME.ST,2025-Q1,2025-04-24
LIME.ST,2025-Q2,2025-07-12
LIME.ST,2025-Q3,2025-10-21
LIME.ST,2025-Q4,2026-02-12
LIME.ST,2026-Q1,2026-04-21
LIME.ST,2026-Q2,2026-07-14
LOOMIS.ST,2024-Q1,2024-05-06
LOOMIS.ST,2024-Q2,2024-07-24
LOOMIS.ST,2024-Q3,2024-10-29
LOOMIS.ST,2024-Q4,2025-02-05
LOOMIS.ST,2025-Q1,2025-05-07
LOOMIS.ST,2025-Q2,2025-07-25
LOOMIS.ST,2025-Q3,2025-10-31
LOOMIS.ST,2025-Q4,2026-02-04
LOOMIS.ST,2026-Q1,2026-05-07
LOOMIS.ST,2026-Q2,2026-07-24
LUMI.ST,2024-Q1,2024-05-01
LUMI.ST,2024-Q2,2024-07-30
LUMI.ST,2024-Q3,2024-11-06
LUMI.ST,2024-Q4,2025-02-20
LUMI.ST,2025-Q1,2025-05-08
LUMI.ST,2025-Q2,2025-08-06
LUMI.ST,2025-Q3,2025-11-06
LUMI.ST,2025-Q4,2026-02-20
LUMI.ST,2026-Q1,2026-05-06
LUMI.ST,2026-Q2,2026-08-06
MCAP.ST,2026-Q2,2026-07-21
MCOV-B.ST,2024-Q4,2025-02-12
MCOV-B.ST,2025-Q1,2025-04-29
MCOV-B.ST,2025-Q2,2025-07-24
MCOV-B.ST,2025-Q3,2025-11-05
MCOV-B.ST,2025-Q4,2026-02-10
MCOV-B.ST,2026-Q1,2026-04-29
MCOV-B.ST,2026-Q2,2026-07-22
MSAB-B.ST,2026-Q1,2026-01-27
MSAB-B.ST,2026-Q2,2026-04-28
MTG-B.ST,2024-Q1,2024-04-24
MTG-B.ST,2024-Q2,2024-07-18
MTG-B.ST,2024-Q3,2024-10-24
MTG-B.ST,2024-Q4,2025-02-06
MTG-B.ST,2025-Q1,2025-04-29
MTG-B.ST,2025-Q2,2025-07-18
MTG-B.ST,2025-Q3,2025-11-13
MTG-B.ST,2025-Q4,2026-02-05
MTG-B.ST,2026-Q1,2026-04-29
MTG-B.ST,2026-Q2,2026-07-21
MTRS.ST,2024-Q1,2024-04-24
MTRS.ST,2024-Q2,2024-07-17
MTRS.ST,2024-Q3,2024-10-22
MTRS.ST,2024-Q4,2025-02-05
MTRS.ST,2025-Q1,2025-04-29
MTRS.ST,2025-Q2,2025-07-18
MTRS.ST,2025-Q3,2025-10-24
MTRS.ST,2025-Q4,2026-01-29
MTRS.ST,2026-Q1,2026-04-28
MTRS.ST,2026-Q2,2026-07-17
MYCR.ST,2025-Q1,2025-04-25
MYCR.ST,2025-Q2,2025-07-11
MYCR.ST,2025-Q3,2025-10-23
MYCR.ST,2025-Q4,2026-02-05
MYCR.ST,2026-Q1,2026-04-24
MYCR.ST,2026-Q2,2026-07-14
NDA-SE.ST,2024-Q1,2024-04-18
NDA-SE.ST,2024-Q2,2024-07-15
NDA-SE.ST,2024-Q3,2024-10-17
NDA-SE.ST,2024-Q4,2025-01-30
NDA-SE.ST,2025-Q1,2025-04-16
NDA-SE.ST,2025-Q2,2025-07-17
NDA-SE.ST,2025-Q3,2025-10-16
NDA-SE.ST,2025-Q4,2026-01-29
NDA-SE.ST,2026-Q1,2026-04-22
NDA-SE.ST,2026-Q2,2026-07-16
NEWA-B.ST,2023-Q4,2024-04-25
NEWA-B.ST,2024-Q1,2024-08-15
NEWA-B.ST,2024-Q2,2024-11-07
NEWA-B.ST,2024-Q3,2025-02-06
NEWA-B.ST,2024-Q4,2025-04-24
NEWA-B.ST,2025-Q1,2025-08-14
NEWA-B.ST,2025-Q2,2025-11-07
NEWA-B.ST,2025-Q3,2026-02-05
NEWA-B.ST,2025-Q4,2026-04-23
NEWA-B.ST,2026-Q1,2026-08-20
NIBE-B.ST,2023-Q4,2024-05-16
NIBE-B.ST,2024-Q1,2024-08-16
NIBE-B.ST,2024-Q2,2024-11-15
NIBE-B.ST,2024-Q3,2025-02-14
NIBE-B.ST,2024-Q4,2025-05-15
NIBE-B.ST,2025-Q1,2025-08-22
NIBE-B.ST,2025-Q2,2025-11-14
NIBE-B.ST,2025-Q3,2026-02-12
NIBE-B.ST,2025-Q4,2026-05-19
NIBE-B.ST,2026-Q1,2026-08-21
NIBE-B.ST,2026-Q2,2026-08-21
NMAN.ST,2026-Q2,2026-07-16
NOLA-B.ST,2026-Q2,2026-07-17
NORION.ST,2024-Q1,2024-02-07
NORION.ST,2024-Q2,2024-04-23
NORION.ST,2024-Q3,2024-07-12
NORION.ST,2024-Q4,2024-10-18
NORION.ST,2025-Q1,2025-02-05
NORION.ST,2025-Q2,2025-04-24
NORION.ST,2025-Q3,2025-07-14
NORION.ST,2025-Q4,2025-10-17
NORION.ST,2026-Q1,2026-02-05
NORION.ST,2026-Q2,2026-04-23
PACT.ST,2024-Q1,2024-05-07
PACT.ST,2024-Q2,2024-07-12
PACT.ST,2024-Q3,2024-10-25
PACT.ST,2024-Q4,2025-02-11
PACT.ST,2025-Q1,2025-05-06
PACT.ST,2025-Q2,2025-07-14
PACT.ST,2025-Q3,2025-10-24
PACT.ST,2025-Q4,2026-02-10
PACT.ST,2026-Q1,2026-05-05
PACT.ST,2026-Q2,2026-07-16
PEAB-B.ST,2024-Q1,2024-05-06
PEAB-B.ST,2024-Q2,2024-07-16
PEAB-B.ST,2024-Q3,2024-10-25
PEAB-B.ST,2024-Q4,2025-02-06
PEAB-B.ST,2025-Q1,2025-05-06
PEAB-B.ST,2025-Q2,2025-07-15
PEAB-B.ST,2025-Q3,2025-10-24
PEAB-B.ST,2025-Q4,2026-02-04
PEAB-B.ST,2026-Q1,2026-04-29
PEAB-B.ST,2026-Q2,2026-07-14
PLAZ-B.ST,2026-Q2,2026-07-03
PNDX-B.ST,2024-Q1,2024-04-25
PNDX-B.ST,2024-Q2,2024-07-12
PNDX-B.ST,2024-Q3,2024-10-24
PNDX-B.ST,2024-Q4,2025-02-06
PNDX-B.ST,2025-Q1,2025-04-29
PNDX-B.ST,2025-Q2,2025-07-11
PNDX-B.ST,2025-Q3,2025-10-23
PNDX-B.ST,2025-Q4,2026-02-05
PNDX-B.ST,2026-Q1,2026-04-29
PNDX-B.ST,2026-Q2,2026-07-15
REJL-B.ST,2024-Q2,2024-07-15
REJL-B.ST,2024-Q3,2024-10-24
REJL-B.ST,2024-Q4,2025-02-06
REJL-B.ST,2025-Q1,2025-04-24
REJL-B.ST,2025-Q2,2025-07-15
REJL-B.ST,2025-Q3,2025-10-23
REJL-B.ST,2025-Q4,2026-02-05
REJL-B.ST,2026-Q1,2026-04-29
REJL-B.ST,2026-Q2,2026-07-15
SAAB-B.ST,2024-Q1,2024-04-26
SAAB-B.ST,2024-Q2,2024-07-19
SAAB-B.ST,2024-Q3,2024-10-22
SAAB-B.ST,2024-Q4,2025-02-07
SAAB-B.ST,2025-Q1,2025-04-25
SAAB-B.ST,2025-Q2,2025-07-18
SAAB-B.ST,2025-Q3,2025-10-24
SAAB-B.ST,2025-Q4,2026-02-05
SAAB-B.ST,2026-Q1,2026-04-23
SAAB-B.ST,2026-Q2,2026-07-17
SAVE.ST,2024-Q1,2024-04-23
SAVE.ST,2024-Q2,2024-07-23
SAVE.ST,2024-Q3,2024-10-25
SAVE.ST,2024-Q4,2025-01-28
SAVE.ST,2025-Q1,2025-04-24
SAVE.ST,2025-Q2,2025-07-18
SAVE.ST,2025-Q3,2025-10-21
SAVE.ST,2025-Q4,2026-01-28
SAVE.ST,2026-Q1,2026-04-24
SAVE.ST,2026-Q2,2026-07-17
SCA-B.ST,2024-Q1,2024-04-26
SCA-B.ST,2024-Q2,2024-07-26
SCA-B.ST,2024-Q3,2024-10-25
SCA-B.ST,2024-Q4,2025-01-31
SCA-B.ST,2025-Q1,2025-04-25
SCA-B.ST,2025-Q2,2025-07-25
SCA-B.ST,2025-Q3,2025-10-24
SCA-B.ST,2025-Q4,2026-01-30
SCA-B.ST,2026-Q1,2026-04-24
SCA-B.ST,2026-Q2,2026-07-22
SCST.ST,2024-Q4,2025-02-06
SCST.ST,2025-Q1,2025-04-29
SCST.ST,2025-Q2,2025-07-17
SCST.ST,2025-Q3,2025-10-23
SCST.ST,2025-Q4,2026-02-05
SCST.ST,2026-Q1,2026-04-28
SCST.ST,2026-Q2,2026-07-17
SEB-A.ST,2024-Q1,2024-04-24
SEB-A.ST,2024-Q2,2024-07-16
SEB-A.ST,2024-Q3,2024-10-24
SEB-A.ST,2024-Q4,2025-01-29
SEB-A.ST,2025-Q1,2025-04-29
SEB-A.ST,2025-Q2,2025-07-16
SEB-A.ST,2025-Q3,2025-10-23
SEB-A.ST,2025-Q4,2026-01-29
SEB-A.ST,2026-Q1,2026-04-29
SEB-A.ST,2026-Q2,2026-07-15
SECARE.ST,2024-Q1,2024-04-25
SECARE.ST,2024-Q2,2024-07-25
SECARE.ST,2024-Q3,2024-10-23
SECARE.ST,2024-Q4,2025-02-13
SECARE.ST,2025-Q1,2025-04-24
SECARE.ST,2025-Q2,2025-07-23
SECARE.ST,2025-Q3,2025-10-22
SECARE.ST,2025-Q4,2026-02-12
SECARE.ST,2026-Q1,2026-04-23
SECARE.ST,2026-Q2,2026-07-22
SECT-B.ST,2026-Q1,2025-09-04
SECT-B.ST,2026-Q2,2025-12-12
SECT-B.ST,2026-Q3,2026-03-06
SECT-B.ST,2026-Q4,2026-06-05
SECU-B.ST,2024-Q1,2024-05-08
SECU-B.ST,2024-Q2,2024-07-30
SECU-B.ST,2024-Q3,2024-11-06
SECU-B.ST,2024-Q4,2025-02-06
SECU-B.ST,2025-Q1,2025-05-08
SECU-B.ST,2025-Q2,2025-07-30
SECU-B.ST,2025-Q3,2025-11-06
SECU-B.ST,2025-Q4,2026-02-04
SECU-B.ST,2026-Q1,2026-04-28
SECU-B.ST,2026-Q2,2026-07-24
SFAST.ST,2026-Q2,2026-02-19
SHB-A.ST,2024-Q1,2024-04-24
SHB-A.ST,2024-Q2,2024-07-17
SHB-A.ST,2024-Q3,2024-10-23
SHB-A.ST,2024-Q4,2025-02-05
SHB-A.ST,2025-Q1,2025-04-30
SHB-A.ST,2025-Q2,2025-07-16
SHB-A.ST,2025-Q3,2025-10-22
SHB-A.ST,2025-Q4,2026-02-04
SHB-A.ST,2026-Q1,2026-04-22
SHB-A.ST,2026-Q2,2026-07-15
SHOT.ST,2024-Q1,2024-04-24
SHOT.ST,2024-Q2,2024-07-17
SHOT.ST,2024-Q3,2024-10-30
SHOT.ST,2024-Q4,2025-02-19
SHOT.ST,2025-Q1,2025-04-15
SHOT.ST,2025-Q2,2025-07-15
SHOT.ST,2025-Q3,2025-10-29
SHOT.ST,2025-Q4,2026-02-18
SHOT.ST,2026-Q1,2026-04-22
SHOT.ST,2026-Q2,2026-07-15
SINT.ST,2024-Q2,2024-04-24
SINT.ST,2024-Q3,2024-08-21
SINT.ST,2024-Q4,2024-11-06
SINT.ST,2025-Q1,2025-02-19
SINT.ST,2025-Q2,2025-04-30
SINT.ST,2025-Q3,2025-08-20
SINT.ST,2025-Q4,2025-11-05
SINT.ST,2026-Q1,2026-02-17
SINT.ST,2026-Q2,2026-04-29
SOBI.ST,2024-Q1,2024-04-25
SOBI.ST,2024-Q2,2024-07-16
SOBI.ST,2024-Q3,2024-10-24
SOBI.ST,2024-Q4,2025-02-05
SOBI.ST,2025-Q1,2025-04-29
SOBI.ST,2025-Q2,2025-07-16
SOBI.ST,2025-Q3,2025-10-20
SOBI.ST,2025-Q4,2026-02-05
SOBI.ST,2026-Q1,2026-04-28
SOBI.ST,2026-Q2,2026-07-16
SVED-B.ST,2024-Q1,2024-02-29
SVED-B.ST,2024-Q2,2024-04-24
SVED-B.ST,2024-Q3,2024-07-18
SVED-B.ST,2024-Q4,2024-10-25
SVED-B.ST,2025-Q1,2025-02-11
SVED-B.ST,2025-Q2,2025-04-29
SVED-B.ST,2025-Q3,2025-07-18
SVED-B.ST,2025-Q4,2025-10-29
SVED-B.ST,2026-Q1,2026-02-04
SVED-B.ST,2026-Q2,2026-04-23
SWEC-A.ST,2024-Q1,2024-05-16
SWEC-A.ST,2024-Q2,2024-07-16
SWEC-A.ST,2024-Q3,2024-10-30
SWEC-A.ST,2024-Q4,2025-02-07
SWEC-A.ST,2025-Q1,2025-04-29
SWEC-A.ST,2025-Q2,2025-07-16
SWEC-A.ST,2025-Q3,2025-10-29
SWEC-A.ST,2025-Q4,2026-02-11
SWEC-A.ST,2026-Q1,2026-04-28
SWEC-A.ST,2026-Q2,2026-07-17
SWEC-B.ST,2024-Q1,2024-05-16
SWEC-B.ST,2024-Q2,2024-07-16
SWEC-B.ST,2024-Q3,2024-10-30
SWEC-B.ST,2024-Q4,2025-02-07
SWEC-B.ST,2025-Q1,2025-04-29
SWEC-B.ST,2025-Q2,2025-07-16
SWEC-B.ST,2025-Q3,2025-10-29
SWEC-B.ST,2025-Q4,2026-02-11
SWEC-B.ST,2026-Q1,2026-04-28
SWEC-B.ST,2026-Q2,2026-07-17
SWED-A.ST,2024-Q1,2024-04-25
SWED-A.ST,2024-Q2,2024-07-16
SWED-A.ST,2024-Q3,2024-10-23
SWED-A.ST,2024-Q4,2025-01-23
SWED-A.ST,2025-Q1,2025-04-29
SWED-A.ST,2025-Q2,2025-07-17
SWED-A.ST,2025-Q3,2025-10-23
SWED-A.ST,2025-Q4,2026-01-29
SWED-A.ST,2026-Q1,2026-04-29
SWED-A.ST,2026-Q2,2026-07-17
SYSR.ST,2024-Q3,2024-03-05
SYSR.ST,2024-Q4,2024-06-04
SYSR.ST,2025-Q1,2024-08-29
SYSR.ST,2025-Q2,2024-12-04
SYSR.ST,2025-Q3,2025-03-06
SYSR.ST,2025-Q4,2025-06-05
SYSR.ST,2026-Q1,2025-08-28
SYSR.ST,2026-Q2,2025-12-04
SYSR.ST,2026-Q3,2026-03-05
SYSR.ST,2026-Q4,2026-06-10
TEL2-B.ST,2024-Q1,2024-04-18
TEL2-B.ST,2024-Q2,2024-07-17
TEL2-B.ST,2024-Q3,2024-10-22
TEL2-B.ST,2024-Q4,2025-01-28
TEL2-B.ST,2025-Q1,2025-04-23
TEL2-B.ST,2025-Q2,2025-07-17
TEL2-B.ST,2025-Q3,2025-10-21
TEL2-B.ST,2025-Q4,2026-01-28
TEL2-B.ST,2026-Q1,2026-04-22
TEL2-B.ST,2026-Q2,2026-07-16
THULE.ST,2024-Q1,2024-04-26
THULE.ST,2024-Q2,2024-07-17
THULE.ST,2024-Q3,2024-10-23
THULE.ST,2024-Q4,2025-02-07
THULE.ST,2025-Q1,2025-04-28
THULE.ST,2025-Q2,2025-07-15
THULE.ST,2025-Q3,2025-10-22
THULE.ST,2025-Q4,2026-02-10
THULE.ST,2026-Q1,2026-04-29
THULE.ST,2026-Q2,2026-07-20
TREL-B.ST,2024-Q1,2024-04-24
TREL-B.ST,2024-Q2,2024-07-18
TREL-B.ST,2024-Q3,2024-10-24
TREL-B.ST,2024-Q4,2025-01-28
TREL-B.ST,2025-Q1,2025-04-24
TREL-B.ST,2025-Q2,2025-07-17
TREL-B.ST,2025-Q3,2025-10-24
TREL-B.ST,2025-Q4,2026-01-29
TREL-B.ST,2026-Q1,2026-04-23
TREL-B.ST,2026-Q2,2026-07-16
VBG-B.ST,2024-Q1,2024-04-25
VBG-B.ST,2024-Q2,2024-07-19
VBG-B.ST,2024-Q3,2024-10-23
VBG-B.ST,2024-Q4,2025-02-19
VBG-B.ST,2025-Q1,2025-04-28
VBG-B.ST,2025-Q2,2025-07-17
VBG-B.ST,2025-Q3,2025-10-28
VBG-B.ST,2025-Q4,2026-02-18
VBG-B.ST,2026-Q1,2026-04-27
VBG-B.ST,2026-Q2,2026-07-17
VIT-B.ST,2024-Q1,2024-04-18
VIT-B.ST,2024-Q2,2024-07-12
VIT-B.ST,2024-Q3,2024-10-17
VIT-B.ST,2024-Q4,2025-02-05
VIT-B.ST,2025-Q1,2025-04-23
VIT-B.ST,2025-Q2,2025-07-11
VIT-B.ST,2025-Q3,2025-10-16
VIT-B.ST,2025-Q4,2026-02-06
VIT-B.ST,2026-Q1,2026-04-23
VIT-B.ST,2026-Q2,2026-07-14
VITR.ST,2025-Q4,2026-02-03
VITR.ST,2026-Q1,2026-04-23
VITR.ST,2026-Q2,2026-07-16
VIVA.ST,2024-Q2,2024-02-22
VIVA.ST,2024-Q3,2024-05-16
VIVA.ST,2024-Q4,2024-08-28
VIVA.ST,2025-Q1,2024-11-20
VIVA.ST,2025-Q2,2025-02-20
VIVA.ST,2025-Q3,2025-05-15
VIVA.ST,2025-Q4,2025-08-28
VIVA.ST,2026-Q1,2025-11-20
VIVA.ST,2026-Q2,2026-08-20
WALL-B.ST,2026-Q2,2026-07-06
