ticker,period_end,report_date,report_lag_days,eps_ttm,currency,alignment_status,eps_source,date_status
AAK.ST,2023-09-30,2023-10-25,25,10.01,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2023-12-31,2024-02-07,38,11.35,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2024-03-31,2024-04-25,25,12.39,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2024-06-30,2024-07-18,18,13.13,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2024-09-30,2024-10-24,24,13.35,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2024-12-31,2025-02-05,36,13.57,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2025-03-31,2025-04-24,24,13.56,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2025-06-30,2025-07-17,17,12.92,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2025-09-30,2025-10-23,23,13.080000000000002,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
AAK.ST,2025-12-31,2026-02-05,36,13.16,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2026-03-31,2026-04-28,28,13.27,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
AAK.ST,2026-06-30,2026-07-17,17,13.87,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2023-09-30,2023-10-18,18,2.11,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2023-12-31,2024-02-01,32,2.01,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2024-03-31,2024-04-18,18,1.94,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2024-06-30,2024-07-18,18,2.05,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2024-09-30,2024-10-17,17,2.09,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2024-12-31,2025-01-30,30,2.13,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2025-03-31,2025-04-17,17,2.24,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2025-06-30,2025-07-17,17,2.27,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2025-09-30,2025-10-16,16,2.42,USD,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
ABB.ST,2025-12-31,2026-01-29,29,2.59,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2026-03-31,2026-04-22,22,2.72,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ABB.ST,2026-06-30,2026-07-16,16,2.76,USD,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2023-09-30,2023-10-26,26,6.05,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2023-12-31,2024-02-07,38,6.1,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2024-03-31,2024-05-16,46,6.05,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2024-06-30,2024-07-12,12,6.45,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2024-09-30,2024-10-24,24,6.45,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2024-12-31,2025-02-04,35,6.65,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2025-03-31,2025-05-15,45,7.0,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2025-06-30,2025-07-15,15,7.2,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2025-09-30,2025-10-23,23,7.4,SEK,yahoo_reconstructed_diluted_ttm,Yahoo Finance / trailingDilutedEPS reconstructed from quarterlyDilutedEPS,existing_canonical
ADDT-B.ST,2025-12-31,2026-02-05,36,7.65,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2026-03-31,2026-05-20,50,7.95,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ADDT-B.ST,2026-06-30,2026-07-14,14,8.25,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ALIG.ST,2023-09-30,2023-10-24,24,5.94589,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ALIG.ST,2023-12-31,2024-02-12,43,5.25,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ALIG.ST,2024-03-31,2024-04-25,25,4.77,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
ALIG.ST,2024-06-30,2024-07-18,18,4.89,SEK,yahoo_trailing_diluted,Yahoo Finance / trailingDilutedEPS historical timeseries,existing_canonical
